form	lemma	freq	seg	pos	gloss
ka	ka	4557			普通名詞主格標記
ila	ila	2585			了；去
hini	hini	1142			這
ma'an	ma'an	1062			我的（屬格）
ray	ray	1033			在（處所）
'am	'am	1020			將要
noka	noka	842			格位標記（屬格）
yako	yako	817			我
'izi'	'izi'	660			不要
So'o	So'o	638			你（主格）
'ima	'ima	573			是；是...的（名物化）；進行貌；所有格
ni	ni	553			屬格
kayzaeh	kayzaeh	550			好
korkoring	korkoring	548			小孩
siya	siya	547			他（主格）
'okay	'okay	505			沒有
mae'iyaeh	mae'iyaeh	503			人；人家；人口
hiza	hiza	495			那個
'oya'	'oya'	486			母親
niSo'	niSo'	484			你（屬格）
rima'	rima'	400			去
a	a	392			連語；或
hayza'	hayza'	326			有
'ataw	'ataw	303			男子名
hi	hi	273			人稱專有名詞受格標記
kayba:en	kayba:en	270			衣服
yaba'	yaba'	263			爸爸
ma'	ma'	262			也
kaehoy	kaehoy	258			木柴；木頭
So:	So:	254			如果
'aewhay	'aewhay	252			壞；不好
Sa'ila	Sa'ila	246			去
mam	mam	238			正在
ay	ay	235			疑問詞
kita'en	kita'en	231			看（受事）
kin	kin	224			很；真
ya:o	ya:o	208			我（同yako）
taew'an	taew'an	205			房子；家；蓋房子
nisiya	nisiya	204			他的（屬格~)
'aehoe'	'aehoe'	201			狗
'akoey	'akoey	199			多
'oka'	'oka'	199			沒有
ralom	ralom	196			水；彩虹
naehan	naehan	195			一下；稍等；先
'okik	'okik	195			沒有；不
o	o	193			轉折語
rayhil	rayhil	191			錢
ki	ki	177			和
'ampowa'	'ampowa'	174			怎麼；為什麼
'iyakin	'iyakin	168			我的（受格）
'aehae'	'aehae'	167			一
nanaw	nanaw	164			只有
kakhayza'an	kakhayza'an	163			以前
baki'	baki'	160			爺爺
pazay	pazay	160			稻子；飯
mari'	mari'	155			拿
si'aelen	si'aelen	153			吃（受事）
kano'	kano'	144			什麼
koko'	koko'	144			奶奶
ra:am	ra:am	133			會；知道；了解
walo'	walo'	133			糖
hiya'	hiya'	132			誰
'isa:a'	'isa:a'	131			那麼
tatimae'	tatimae'	130			菜
yami	yami	128			我們
tata:a'	tata:a'	125			雞
mowa:'	mowa:'	122			
tatini'	tatini'	122			祖先
lasiya	lasiya	114			他們的（屬格）
tomal	tomal	114			很；非常
mina	mina	112			語氣
tomalan	tomalan	112			真的
kalih	kalih	109			男子名
'insa'an	'insa'an	107			等一下
kayni'	kayni'	106			不要
'ita'	'ita'	104			我們；咱們（包含式）
somi'ael	somi'ael	103			吃（主事）
'ae'aew	'ae'aew	101			女子名
'obay	'obay	100			男子名
sowiti'	sowiti'	99			一點點
kina:at	kina:at	98			寫（完成）；書信
minatini'	minatini'	96			哥哥或姊姊
rini	rini	96			在這裡
SaySiyat	SaySiyat	94			賽夏族；賽夏族人；賽夏語
minkoringan	minkoringan	90			女孩
matawaw	matawaw	88			工作
'ina	'ina	86			曾經
lobih	lobih	86			回去
koSa'en	koSa'en	84			說（受事）
saboeh	saboeh	83			全部
'aelaw	'aelaw	81			魚
'in	'in	80			所有格
hayno'	hayno'	78			在哪裡
hahila:	hahila:	77			太陽
pinamowa'	pinamowa'	77			種（完成）
kasi'aelen	kasi'aelen	76			食物
manra:an	manra:an	76			走路（主事）
komita'	komita'	75			看見（主事）
paza'	paza'	75			女子名
'ana	'ana	74			雖然
bato'	bato'	74			石頭
kapapama'an	kapapama'an	74			車
babaw	babaw	73			上面；上方
'iniman	'iniman	73			我（予格）
kita'	kita'	73			看
'away	'away	71			男子名
boway	boway	71			植物的果實
pinobae:aeh	pinobae:aeh	71			.釀酒（完成）；酒
'ayam	'ayam	69			豬肉
'inaSkan	'inaSkan	69			放置（完成）
ra:an	ra:an	69			路
hima'	hima'	68			手；左手；左邊
'ini	'ini	68			予（予格）
moyo	moyo	68			你們
por'oe'	por'oe'	68			青菜
komoSa'	komoSa'	67			說（主事；受事）；這麼說（主事）
roSa'	roSa'	67			二（數字）
bo:ong	bo:ong	66			男子名
kaysa'an	kaysa'an	65			現在；今天
'oemaw	'oemaw	65			男子名
wa:on	wa:on	65			女子名
'amoy	'amoy	63			人名
kamamanra:an	kamamanra:an	63			男子；男人；男性；老人
nonak	nonak	63			自己
haysani	haysani	62			現在
katin	katin	62			牛
'oes'oeso'an	'oes'oeso'an	62			野外；山上
paSta'ay	paSta'ay	62			巴斯達隘；矮靈祭
waliSan	waliSan	62			山豬
'inmana'a	'inmana'a	61			我的
nom	nom	61			做…之用
rengreng	rengreng	61			天天；常常；經常
'aewpir	'aewpir	60			地瓜
Sa'	Sa'	60			去；說；看
Sa'	Sa'	60			去
'api'	'api'	58			女子名
